ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
ACSSC Chimia 1973 Rm. Vâlcea,Chimia Rm. Vâlcea,Romania,Romanian Fourth League Vâlcea,57133747
CS Roseal Odorheiu Secuiesc,Roseal,Romania,Romanian Fourth League Harghita,57048370
ACSM Codlea,,Romania,Romanian Fourth League Braşov,57116097
CS Internaţional Băleşti,Internaţional Băleşti,Romania,Romanian Fourth League Gorj,57065427
ACS Unirea Miercurea-Sibiului,,Romania,Romanian Fourth League Sibiu,57105124
AS Giganţii Vărăşti,Giganţii Vărăşti,Romania,Romanian Fourth League Giurgiu,57159170
Sportul Şimleu Silvaniei,Şimleu Silvaniei,Romania,Romanian Fourth League Sălaj,57110371
Crasna Moftinu Mic,Moftinu Mic,Romania,Romanian Fourth League Satu Mare,57121941
AS Voinţa Oituz,Oituz,Romania,Romanian Fourth League Bacău,57061081
Turul Micula,,Romania,Romanian Fourth League Satu Mare,57015198
ACS Hebe Sîngeorz Băi,Hebe Sîngeorz Băi,Romania,Romanian Fourth League Bistriţa-Năsăud,57072093
Unirea Radomireşti,,Romania,Romanian Fourth League Olt,57191013
CS DLR Piteşti,DLR Piteşti,Romania,Romanian Fourth League Argeş,57061071
Tractorul Năneşti,Năneşti,Romania,Romanian Fourth League Vrancea,57143108
ACS Colţea 1920 Braşov,Colţea 1920 Braşov,Romania,Romanian Fourth League Braşov,57161675
ACS Şomuzul Preuteşti,Şomuzul Preuteşti,Romania,Romanian Fourth League Suceava,57121871
CS Someşul Rebrişoara,Rebrişoara,Romania,Romanian Fourth League Bistriţa-Năsăud,57061099
Voinţa 2012 Băbiciu,Voinţa Băbiciu,Romania,Romanian Fourth League Olt,57110367
FC Brezoaele,Brezoaele,Romania,Romanian Fourth League Dâmboviţa,57110268
Speranţa Halmeu,,Romania,Romanian Fourth League Satu Mare,57191022
ACS Unirea Curteşti,Unirea Curteşti,Romania,Romanian Fourth League Botoşani,57174335
AS FC Urziceni,FC Urziceni,Romania,Romanian Fourth League Ialomiţa,57174505
CS Victoria Ţăndărei,Ţăndărei,Romania,Romanian Fourth League Ialomiţa,57059848
ACS Arieşul Mihai Viteazu,Arieşul Mihai Viteazu,Romania,Romanian Fourth League Cluj,57057223
CS Victoria Zăbrani,Victoria Zăbrani,Romania,Romanian Fourth League Arad,57069363
Luceafărul Decebal,,Romania,Romanian Fourth League Satu Mare,57068907
Viitorul Axintele,Axintele,Romania,Romanian Fourth League Ialomiţa,57065467
CSO Siretul Dolhasca,Siretul Dolhasca,Romania,Romanian Fourth League Suceava,57175636
Sparta Techirghiol,Techirghiol,Romania,Romanian Fourth League Constanţa,57071769
ACS Pobeda Star Bisnov,Pobeda Star Bisnov,Romania,Romanian Fourth League Timiş,57050304
CS Avântul Periam,Avântul Periam,Romania,Romanian Fourth League Timiş,57142144
ACS Comunal Recolta Dorolţ,Dorolţ,Romania,Romanian Fourth League Satu Mare,57061212
Victoria Horia,,Romania,Romanian Fourth League Neamţ,57061201
CF Abatorul Slobozia,Abatorul,Romania,Romanian Fourth League Ialomiţa,57015192
CS Inter Cristian,Inter Cristian,Romania,Romanian Fourth League Braşov,57048648
Atletic Club Bârlad,,Romania,Romanian Fourth League Vaslui,57159527
CS Mioveni II,,Romania,Romanian Fourth League Argeş,57100554
AS Prima Brăduţ,Prima Brăduţ,Romania,Romanian Fourth League Covasna,57061166
AS Farkaslaka Lupeni,Farkaslaka Lupeni,Romania,Romanian Fourth League Harghita,57190790
CS Barcău Nuşfalău,CS Barcău,Romania,Romanian Fourth League Sălaj,57048728
AFC Brebu,,Romania,Romanian Fourth League Prahova,57075288
ACS Eciro Forest Telciu,Eciro Forest,Romania,Romanian Fourth League Bistriţa-Năsăud,57065145
CS Unirea Tomnatic,Unirea Tomnatic,Romania,Romanian Fourth League Timiş,57049997
ACS Steagu Roşu Braşov,Steagu Roşu,Romania,Romanian Fourth League Braşov,57031433
CSO Teleajenul Vălenii de Munte,CSO Teleajenul,Romania,Romanian Fourth League Prahova,57120210
CSO Tricolorul Breaza,CSO Tricolorul,Romania,Romanian Fourth League Prahova,57120205
AFC Victoria Adunaţii Copăceni,Adunaţii Copăceni,Romania,Romanian Fourth League Giurgiu,57159171
